source,target,value,source_name,target_name
0,1,200,소과 - 서울,소과 - 초시
2,1,60,소과 - 경기,소과 - 초시
3,1,45,소과 - 강원,소과 - 초시
4,1,90,소과 - 충청,소과 - 초시
5,1,90,소과 - 전라,소과 - 초시
6,1,100,소과 - 경상,소과 - 초시
7,1,35,소과 - 황해,소과 - 초시
8,1,45,소과 - 평안,소과 - 초시
9,1,35,소과 - 함경,소과 - 초시
1,10,100,소과 - 초시,소과 - 복시
10,11,100,소과 - 복시,소과 - 성균관
11,12,50,소과 - 성균관,대과 - 초시
13,12,40,대과 - 서울,대과 - 초시
14,12,20,대과 - 경기,대과 - 초시
15,12,15,대과 - 강원,대과 - 초시
16,12,10,대과 - 황해,대과 - 초시
17,12,25,대과 - 충청,대과 - 초시
18,12,30,대과 - 경상,대과 - 초시
19,12,25,대과 - 전라,대과 - 초시
20,12,15,대과 - 평안,대과 - 초시
21,12,10,대과 - 함경,대과 - 초시
12,22,33,대과 - 초시,대과 - 복시
22,23,33,대과 - 복시,대과 - 전시
