king,y,m,d,max,min,avg,maxmax,minmin,date
경종,1720,01,01,2.0,1.0,1.5,18.0,1.0,1720-01-01
경종,1720,10,12,3.0,1.0,2.6,17.0,1.0,1720-10-12
경종,1720,03,04,3.0,1.0,2.0,13.0,1.0,1720-03-04
경종,1720,10,11,3.0,1.0,2.4,18.0,1.0,1720-10-11
경종,1720,03,05,2.0,1.0,1.75,14.0,1.0,1720-03-05
경종,1720,10,10,4.0,1.0,2.4,22.0,1.0,1720-10-10
경종,1720,03,06,3.0,1.0,2.3333333333333335,12.0,1.0,1720-03-06
경종,1720,10,09,2.0,1.0,1.5,18.0,1.0,1720-10-09
경종,1720,03,07,2.0,1.0,1.3333333333333333,31.0,1.0,1720-03-07
경종,1720,10,08,5.0,1.0,1.8,13.0,1.0,1720-10-08
경종,1720,03,08,2.0,1.0,1.5,16.0,1.0,1720-03-08
경종,1720,10,07,2.0,1.0,1.2,31.0,1.0,1720-10-07
경종,1720,03,09,4.0,1.0,2.75,13.0,1.0,1720-03-09
경종,1720,10,06,2.0,1.0,1.6666666666666667,13.0,1.0,1720-10-06
경종,1720,03,10,3.0,1.0,1.75,12.0,1.0,1720-03-10
경종,1720,10,05,1.0,1.0,1.0,29.0,1.0,1720-10-05
경종,1720,03,11,2.0,1.0,1.6666666666666667,12.0,1.0,1720-03-11
경종,1720,10,04,1.0,1.0,1.0,13.0,1.0,1720-10-04
경종,1720,10,13,4.0,1.0,3.25,15.0,1.0,1720-10-13
경종,1720,03,12,4.0,2.0,3.0,12.0,1.0,1720-03-12
경종,1720,03,03,3.0,1.0,2.0,21.0,1.0,1720-03-03
경종,1720,03,02,3.0,1.0,2.0,15.0,1.0,1720-03-02
경종,1720,12,21,2.0,1.0,1.25,15.0,1.0,1720-12-21
경종,1720,02,23,2.0,1.0,1.25,13.0,1.0,1720-02-23
경종,1720,10,22,2.0,1.0,1.5,13.0,1.0,1720-10-22
경종,1720,02,24,3.0,1.0,2.0,16.0,1.0,1720-02-24
경종,1720,10,21,5.0,2.0,2.75,10.0,1.0,1720-10-21
경종,1720,02,25,2.0,1.0,1.75,13.0,1.0,1720-02-25
경종,1720,10,20,3.0,1.0,2.0,13.0,1.0,1720-10-20
경종,1720,02,26,2.0,1.0,1.3333333333333333,20.0,1.0,1720-02-26
경종,1720,10,19,2.0,1.0,1.8,13.0,1.0,1720-10-19
경종,1720,02,27,2.0,1.0,1.6666666666666667,15.0,1.0,1720-02-27
경종,1720,10,18,4.0,2.0,2.6666666666666665,13.0,1.0,1720-10-18
경종,1720,02,28,4.0,1.0,2.6666666666666665,12.0,1.0,1720-02-28
경종,1720,10,17,3.0,1.0,1.75,12.0,1.0,1720-10-17
경종,1720,02,29,2.0,2.0,2.0,9.0,1.0,1720-02-29
경종,1720,10,16,2.0,2.0,2.0,18.0,1.0,1720-10-16
경종,1720,03,01,2.0,1.0,1.6666666666666667,12.0,1.0,1720-03-01
경종,1720,10,15,7.0,1.0,3.0,25.0,1.0,1720-10-15
경종,1720,10,14,5.0,1.0,2.2,16.0,1.0,1720-10-14
경종,1720,10,03,2.0,1.0,1.3333333333333333,24.0,1.0,1720-10-03
경종,1720,03,13,2.0,1.0,1.6666666666666667,9.0,1.0,1720-03-13
경종,1720,10,02,2.0,1.0,1.75,14.0,1.0,1720-10-02
경종,1720,09,21,5.0,1.0,2.3333333333333335,18.0,1.0,1720-09-21
경종,1720,03,24,3.0,1.0,1.75,10.0,1.0,1720-03-24
경종,1720,09,20,2.0,1.0,1.3333333333333333,15.0,1.0,1720-09-20
경종,1720,03,25,3.0,1.0,1.6666666666666667,14.0,1.0,1720-03-25
경종,1720,09,19,2.0,1.0,1.25,13.0,1.0,1720-09-19
경종,1720,03,26,5.0,1.0,2.0,14.0,1.0,1720-03-26
경종,1720,09,18,5.0,1.0,2.4,11.0,1.0,1720-09-18
경종,1720,03,27,2.0,1.0,1.5,14.0,1.0,1720-03-27
경종,1720,09,17,2.0,2.0,2.0,12.0,1.0,1720-09-17
경종,1720,03,28,3.0,1.0,1.6666666666666667,13.0,1.0,1720-03-28
경종,1720,09,16,3.0,1.0,2.0,33.0,1.0,1720-09-16
경종,1720,03,29,2.0,1.0,1.25,24.0,1.0,1720-03-29
경종,1720,09,15,4.0,1.0,2.0,14.0,1.0,1720-09-15
경종,1720,09,14,2.0,1.0,1.2,13.0,1.0,1720-09-14
경종,1720,03,30,3.0,1.0,2.0,13.0,1.0,1720-03-30
경종,1720,09,13,3.0,1.0,1.75,13.0,1.0,1720-09-13
경종,1720,03,31,3.0,1.0,1.5,14.0,1.0,1720-03-31
경종,1720,03,23,1.0,1.0,1.0,14.0,1.0,1720-03-23
경종,1720,09,22,1.0,1.0,1.0,15.0,1.0,1720-09-22
경종,1720,03,22,3.0,1.0,2.0,11.0,1.0,1720-03-22
경종,1720,09,23,1.0,1.0,1.0,19.0,1.0,1720-09-23
경종,1720,03,14,4.0,3.0,3.6666666666666665,16.0,1.0,1720-03-14
경종,1720,10,01,2.0,1.0,1.75,17.0,1.0,1720-10-01
경종,1720,09,30,3.0,1.0,1.75,20.0,1.0,1720-09-30
경종,1720,03,15,2.0,1.0,1.3333333333333333,13.0,1.0,1720-03-15
경종,1720,09,29,3.0,1.0,1.75,12.0,1.0,1720-09-29
경종,1720,03,16,2.0,1.0,1.3333333333333333,53.0,1.0,1720-03-16
경종,1720,09,28,5.0,1.0,2.75,15.0,1.0,1720-09-28
경종,1720,03,17,3.0,1.0,1.75,13.0,1.0,1720-03-17
경종,1720,10,23,3.0,2.0,2.5,22.0,1.0,1720-10-23
경종,1720,09,27,2.0,1.0,1.5,46.0,1.0,1720-09-27
경종,1720,09,26,3.0,1.0,1.6,15.0,1.0,1720-09-26
경종,1720,12,22,4.0,1.0,2.25,15.0,1.0,1720-12-22
경종,1720,03,19,2.0,1.0,1.3333333333333333,16.0,1.0,1720-03-19
경종,1720,09,25,4.0,1.0,2.0,19.0,1.0,1720-09-25
경종,1720,12,29,2.0,1.0,1.5,13.0,1.0,1720-12-29
경종,1720,03,20,2.0,2.0,2.0,14.0,1.0,1720-03-20
경종,1720,09,24,2.0,1.0,1.8,17.0,1.0,1720-09-24
경종,1720,03,21,3.0,1.0,2.0,16.0,1.0,1720-03-21
경종,1720,03,18,3.0,1.0,1.75,14.0,1.0,1720-03-18
경종,1720,09,12,3.0,1.0,2.0,11.0,1.0,1720-09-12
경종,1720,02,22,3.0,1.0,2.0,17.0,1.0,1720-02-22
경종,1720,10,24,4.0,1.0,2.5,21.0,1.0,1720-10-24
경종,1720,01,25,4.0,1.0,2.25,17.0,1.0,1720-01-25
경종,1720,11,23,3.0,1.0,1.5,21.0,1.0,1720-11-23
경종,1720,12,31,4.0,1.0,2.75,15.0,1.0,1720-12-31
경종,1720,01,26,7.0,1.0,3.3333333333333335,11.0,1.0,1720-01-26
경종,1720,11,22,5.0,2.0,3.5,15.0,1.0,1720-11-22
경종,1720,11,21,3.0,1.0,2.3333333333333335,14.0,1.0,1720-11-21
경종,1720,01,27,5.0,2.0,2.75,12.0,1.0,1720-01-27
경종,1720,11,20,2.0,1.0,1.5,28.0,1.0,1720-11-20
경종,1720,01,28,3.0,1.0,2.25,11.0,1.0,1720-01-28
